clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,1,4.47,7.45,0.18251933117313485,0.0434166734018559,0.04571681884545886,0.18251933117313485,0.20117781338897067,scene_spatial,0.13910265777127895,0.13680251232767598,2,static_ad_ok_low_gap
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,2,7.45,10.43,0.15726461846474254,0.03234623795090302,0.04569576620884086,0.15726461846474254,0.1697106720990882,scene_spatial,0.12491838051383952,0.11156885225590168,2,static_ad_ok_low_gap
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,3,10.43,13.41,0.18557412642419752,0.03658934652424739,0.14254769485881708,0.18557412642419752,0.19866006169123118,scene_spatial,0.14898477989995013,0.04302643156538044,2,static_ad_ok_low_gap
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,9.0,TF4q9y0rJoc_000000_000010,Sports,4,13.41,16.39,0.09673991699603313,0.028139207551158285,0.1081676586972124,0.10016004686252455,0.1831248585885077,scene_spatial,0.06860070944487484,-0.011427741701179273,2,static_ad_ok_low_gap
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,0,0.0,3.278,0.26267695918640266,0.4239843754277154,0.02291568214065992,0.4578800972802637,0.6471764276602607,agent_action,0.16130741624131273,0.40106869328705547,2,action_state_or_agent_cue
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,1,3.278,6.556,0.14827391318637723,0.06347223180392136,0.12385208219736066,0.14827391318637723,0.24252853393576235,scene_spatial,0.08480168138245586,0.02442183098901657,2,static_ad_ok_low_gap
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,2,6.556,9.834,0.07323939151267345,0.04344444873228853,0.07055261586769862,0.07323939151267345,0.08011628812031724,scene_spatial,0.029794942780384914,0.002686775644974826,2,static_ad_ok_low_gap
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,3,9.834,13.112,0.09034431833007811,0.0840678909440622,0.01797664312613928,0.09790193719466622,0.1253003656935041,scene_spatial,0.006276427386015915,0.07236767520393883,2,static_ad_ok_low_gap
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,11.0,z8Q-s8AthrA_000002_000012,Sports,4,13.112,16.39,0.13088351205505827,0.19186054839698613,0.03123045820818282,0.2099605356932323,0.2687553078918833,agent_action,0.06097703634192786,0.1606300901888033,2,static_ad_ok_low_gap
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,12.0,abaLFY_GI8k_000295_000305,Sports,0,0.0,4.334545454545455,0.46779680710999744,0.45904173195334097,0.2130328387171313,0.5185963599270866,0.6756869310259981,scene_spatial,0.008755075156656467,0.25476396839286614,2,layout_replay_or_scene_cue
